Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
ucmo.edu,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
amazon.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
juicyfinder.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
martindale.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
montrealladies.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
a2zcity.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
facebook.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
baseball-reference.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
sabrinasnowden.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
genevieve-bujold-nude.pic-celebrity.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
gruntsmilitary.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
tabs.ultimate-guitar.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
oeuf.foodpages.ca,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
sgi.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
pics.smashits.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
facebook.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
cdplus.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
linkedin.com,0,0,0,6,0,0,0,0,1,1,1,1,1,1,1,0
wma-minelife.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
news.theage.com.au,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
shop.lego.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
boxofficemontreal.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
visithoustontexas.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
mustrad.org.uk,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
websters-online-dictionary.org,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
mylife.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
bd.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
tools.ietf.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
soundtrackinfo.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
bestxxxpic.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
angelfire.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
nybooks.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
martialarts.about.com,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1,0
smallbusiness.yahoo.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
rootsweb.ancestry.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
socialistparty.org.uk,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
findagrave.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
flickr.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
prohockeyfr.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
thenavarres.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
ej-technologies.com,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
amazon.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
francisscarpaleggia.liberal.ca,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
canadafootballchat.com,0,0,1,4,0,0,1,0,1,1,1,1,1,1,1,0
airlinehistory.co.uk,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
worthpoint.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,0
tarawildlife.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
discoveriesmagazine.org,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
manta.com,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1,0
doc.ubuntu-fr.org,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
myspace.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
commons.wikimedia.org,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
tricity.wsu.edu,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
francinebrokaw.suite101.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
kcobaatl.org,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
yelp.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
movies.about.com,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1,0
encycl.opentopia.com,0,0,0,4,0,0,1,0,1,1,1,1,1,1,1,0
news.yahoo.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
onlineauction.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
marketskillbuilder.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
freespace.virgin.net,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
videosurf.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
familytreeassistant.com,0,0,1,3,0,0,1,0,1,1,1,1,1,1,1,0
imdb.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
melnickblog.blogspot.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
wn.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
natap.org,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
spokeo.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
spoke.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
widescreenreview.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
goodnessdirect.co.uk,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1,0
slashfilm.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
abacci.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
filmschoolrejects.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
axisbank.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
456fis.org,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
kelkoo.co.uk,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
spoke.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
members.tripod.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
theessenessproject.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1,0
ccbcrsm.org,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
lamarvin.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
arjanwrites.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
dallas-hiram.patch.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
dkevinbrown.wordpress.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
zoominfo.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
mitchellgreenbergdesigns.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
cineflix.ch,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
linkedin.com,0,0,0,6,0,0,0,0,1,1,1,1,1,1,1,0
jerseycityonline.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
penderbeaches.wect.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
findagrave.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
members.tripod.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
barstowmemorialschoolcounseling.blogspot.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
weatherhead.case.edu,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
crownover.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
seriouschristian.org,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
cs.toronto.edu,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
onesource.com,0,0,0,6,0,0,0,0,1,1,1,1,1,1,1,0
filecatch.com,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0
usads.ms11.net,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
images.hyperspacestudios.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
finance.yahoo.com,0,0,1,3,0,0,0,0,1,1,1,1,1,1,1,0
fhwa.dot.gov,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
harmonium.syntheway.net,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
linkedin.com,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0
archives.cbc.ca,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0
loglar.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
amazon.ca,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
collegebasketball.rivals.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
mahalo.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
freemason.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
dcmemorials.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
jimherrin.blogspot.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1,0
njms.umdnj.edu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
en.wikipedia.org,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
sc4.edu,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
prints.paphotos.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
bridgestone-firestone.ca,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
gilkes.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
people.famouswhy.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
allgame.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
tshaonline.org,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0
eudora.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1,0
baseball-almanac.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
myspace.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
zachary.com,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
youtube.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
sourceforge.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
realitytvmagazine.sheknows.com,0,0,1,5,0,0,0,0,1,1,1,1,1,1,1,0
btscene.eu,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
nmelectric.coop,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
movies.yahoo.com,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,0
imdb.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
myspace.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
knack.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
chiefswarroom.net,0,0,0,3,0,0,0,0,1,1,1,1,1,1,1,0
pages.intnet.mu,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0
artgalleryartist.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1,0
arcadja.com,0,0,0,6,0,0,1,0,1,1,1,1,1,1,1,0
myspace.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
oregonlive.com,0,0,1,6,0,0,0,0,1,1,1,1,1,1,1,0
movies.msn.com,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
alumniclass.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1,0
linkedin.com,0,0,0,5,0,0,0,0,1,1,1,1,1,1,1,0
jimlynch.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0
mondoweiss.net,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,0
mskcc.org,0,0,0,4,0,0,0,0,1,1,1,1,1,1,1,0
